epoch ,time       ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
   55 , 28219.3   ,       1.13367 ,       1.0276  ,       0.9641  ,             0.64744 ,          0.68096 ,         0.70915 ,            0.46004 ,     1.16495 ,     1.19294 ,     0.94878 ,0.000338534 ,0.000338534 ,0.000338534
   56 , 28735.4   ,       1.12994 ,       1.05454 ,       0.95219 ,             0.60634 ,          0.66421 ,         0.67684 ,            0.42827 ,     1.1993  ,     1.31728 ,     0.95696 ,0.000335062 ,0.000335062 ,0.000335062
   57 , 29245.4   ,       1.12166 ,       1.05339 ,       0.96283 ,             0.65885 ,          0.7084  ,         0.7145  ,            0.45794 ,     1.17114 ,     1.16248 ,     0.95821 ,0.00033159  ,0.00033159  ,0.00033159
   58 , 29757.8   ,       1.11791 ,       1.02824 ,       0.95669 ,             0.70654 ,          0.60619 ,         0.68096 ,            0.4393  ,     1.18688 ,     1.20565 ,     0.95411 ,0.000328119 ,0.000328119 ,0.000328119
   59 , 30271.9   ,       1.13002 ,       1.04479 ,       0.94941 ,             0.68593 ,          0.6279  ,         0.67481 ,            0.43123 ,     1.19213 ,     1.22745 ,     0.95405 ,0.000324647 ,0.000324647 ,0.000324647
   60 , 30785.5   ,       1.10985 ,       1.00212 ,       0.94681 ,             0.66064 ,          0.68713 ,         0.69922 ,            0.45267 ,     1.16643 ,     1.19167 ,     0.95434 ,0.000321176 ,0.000321176 ,0.000321176
   61 , 31292.2   ,       1.10383 ,       1.03134 ,       0.9508  ,             0.74595 ,          0.60789 ,         0.69821 ,            0.44708 ,     1.16737 ,     1.19266 ,     0.95055 ,0.000317704 ,0.000317704 ,0.000317704
   62 , 31807.9   ,       1.11575 ,       1.00654 ,       0.95745 ,             0.70915 ,          0.66047 ,         0.70405 ,            0.45109 ,     1.20982 ,     1.21093 ,     0.96016 ,0.000314232 ,0.000314232 ,0.000314232
   63 , 32319.2   ,       1.09457 ,       0.99868 ,       0.94322 ,             0.7372  ,          0.62816 ,         0.69629 ,            0.44273 ,     1.18699 ,     1.20371 ,     0.96431 ,0.000310761 ,0.000310761 ,0.000310761
   64 , 37636.8   ,       1.10662 ,       0.99567 ,       0.95213 ,             0.67457 ,          0.63486 ,         0.69839 ,            0.44874 ,     1.19632 ,     1.18155 ,     0.95416 ,0.000307289 ,0.000307289 ,0.000307289
   65 , 38455.2   ,       1.1111  ,       0.99003 ,       0.9499  ,             0.70096 ,          0.65443 ,         0.69661 ,            0.44754 ,     1.1913  ,     1.19191 ,     0.95673 ,0.000303818 ,0.000303818 ,0.000303818
   66 , 39031.6   ,       1.10524 ,       0.99781 ,       0.95717 ,             0.73492 ,          0.65592 ,         0.71366 ,            0.45749 ,     1.18129 ,     1.16848 ,     0.95259 ,0.000300346 ,0.000300346 ,0.000300346
   67 , 39681.7   ,       1.12419 ,       1.00108 ,       0.95107 ,             0.72645 ,          0.64298 ,         0.70998 ,            0.45403 ,     1.15941 ,     1.15922 ,     0.94184 ,0.000296874 ,0.000296874 ,0.000296874
   68 , 40322.2   ,       1.08628 ,       0.95911 ,       0.94953 ,             0.74771 ,          0.62196 ,         0.69408 ,            0.44879 ,     1.17434 ,     1.17115 ,     0.94533 ,0.000293403 ,0.000293403 ,0.000293403
   69 , 40948.7   ,       1.09522 ,       0.98253 ,       0.94476 ,             0.70392 ,          0.66303 ,         0.71797 ,            0.46504 ,     1.20153 ,     1.20214 ,     0.95647 ,0.000289931 ,0.000289931 ,0.000289931
   70 , 41594.8   ,       1.08228 ,       0.9731  ,       0.94091 ,             0.69033 ,          0.66508 ,         0.72701 ,            0.45846 ,     1.21497 ,     1.16481 ,     0.96397 ,0.00028646  ,0.00028646  ,0.00028646
   71 , 42155.2   ,       1.08756 ,       0.95928 ,       0.94076 ,             0.74495 ,          0.62779 ,         0.70707 ,            0.4499  ,     1.19321 ,     1.15963 ,     0.94423 ,0.000282988 ,0.000282988 ,0.000282988
   72 , 42877.6   ,       1.10586 ,       0.98563 ,       0.94371 ,             0.70126 ,          0.6505  ,         0.71329 ,            0.46648 ,     1.16318 ,     1.15142 ,     0.94262 ,0.000279516 ,0.000279516 ,0.000279516
   73 , 43542.1   ,       1.08466 ,       0.93961 ,       0.94467 ,             0.69308 ,          0.65442 ,         0.69631 ,            0.45318 ,     1.1815  ,     1.16267 ,     0.95161 ,0.000276045 ,0.000276045 ,0.000276045
   74 , 44208.6   ,       1.09854 ,       0.96118 ,       0.9435  ,             0.75812 ,          0.68105 ,         0.73715 ,            0.46702 ,     1.16801 ,     1.11364 ,     0.93809 ,0.000272573 ,0.000272573 ,0.000272573
   75 , 44894.1   ,       1.0857  ,       0.95903 ,       0.9369  ,             0.68705 ,          0.65363 ,         0.72352 ,            0.46379 ,     1.1946  ,     1.13879 ,     0.94539 ,0.000269102 ,0.000269102 ,0.000269102
   76 , 45595.1   ,       1.06259 ,       0.9252  ,       0.93406 ,             0.72193 ,          0.67757 ,         0.72327 ,            0.45465 ,     1.21822 ,     1.11939 ,     0.95773 ,0.00026563  ,0.00026563  ,0.00026563
   77 , 46401.1   ,       1.08583 ,       0.93998 ,       0.94088 ,             0.7275  ,          0.69346 ,         0.73231 ,            0.47226 ,     1.17891 ,     1.10152 ,     0.94449 ,0.000262158 ,0.000262158 ,0.000262158
   78 , 47097.3   ,       1.071   ,       0.91737 ,       0.94423 ,             0.71513 ,          0.69475 ,         0.73963 ,            0.47819 ,     1.16395 ,     1.08926 ,     0.93897 ,0.000258687 ,0.000258687 ,0.000258687
   79 , 47818.3   ,       1.07997 ,       0.93538 ,       0.94103 ,             0.69751 ,          0.69704 ,         0.7371  ,            0.47295 ,     1.17728 ,     1.08913 ,     0.94429 ,0.000255215 ,0.000255215 ,0.000255215
   80 , 48532.2   ,       1.06476 ,       0.9204  ,       0.94431 ,             0.73009 ,          0.67563 ,         0.72242 ,            0.47045 ,     1.17241 ,     1.11102 ,     0.95279 ,0.000251744 ,0.000251744 ,0.000251744
   81 , 49193.5   ,       1.04636 ,       0.88901 ,       0.93164 ,             0.70771 ,          0.66214 ,         0.72707 ,            0.45662 ,     1.2065  ,     1.11294 ,     0.95999 ,0.000248272 ,0.000248272 ,0.000248272
   82 , 50010.3   ,       1.08381 ,       0.90892 ,       0.9444  ,             0.71017 ,          0.66362 ,         0.72091 ,            0.47057 ,     1.19174 ,     1.12218 ,     0.96032 ,0.0002448   ,0.0002448   ,0.0002448
   83 , 50723.6   ,       1.06447 ,       0.91044 ,       0.92819 ,             0.69979 ,          0.65311 ,         0.71501 ,            0.45845 ,     1.21155 ,     1.13831 ,     0.96457 ,0.000241329 ,0.000241329 ,0.000241329
   84 , 51479.5   ,       1.05863 ,       0.8905  ,       0.93305 ,             0.777   ,          0.6306  ,         0.72184 ,            0.46061 ,     1.22034 ,     1.14599 ,     0.94828 ,0.000237857 ,0.000237857 ,0.000237857
   85 , 52213     ,       1.04876 ,       0.89418 ,       0.94074 ,             0.77298 ,          0.6541  ,         0.74422 ,            0.48187 ,     1.18045 ,     1.09541 ,     0.9463  ,0.000234386 ,0.000234386 ,0.000234386
   86 , 52852.9   ,       1.05031 ,       0.88382 ,       0.93534 ,             0.76022 ,          0.65665 ,         0.72659 ,            0.4767  ,     1.17048 ,     1.10422 ,     0.94926 ,0.000230914 ,0.000230914 ,0.000230914
   87 , 53513.4   ,       1.0551  ,       0.88938 ,       0.93043 ,             0.76318 ,          0.65279 ,         0.73791 ,            0.4866  ,     1.15313 ,     1.0891  ,     0.94003 ,0.000227442 ,0.000227442 ,0.000227442
   88 , 54096.5   ,       1.04484 ,       0.89095 ,       0.93357 ,             0.74394 ,          0.6621  ,         0.71998 ,            0.46626 ,     1.17448 ,     1.10761 ,     0.94585 ,0.000223971 ,0.000223971 ,0.000223971
